,id,product_id,location_id,lot_id,x_studio_vendor,x_studio_gsai_part,x_studio_vendor_part,x_studio_manufacturer,available_quantity,quantity,product_uom_id,inventory_quantity,reserved_quantity,value
0,48,"[16, '[SFTY-1-01-50] Pluto PLC Safety Controller']","[28, 'LAE/Stock']",False,False,SFTY-1-01-50,False,False,1.0,1.0,"[1, 'Units']",0.0,0.0,1385.0
1,58,"[68, '[DET-1-01-220CONFG] Low Profile Camera Link Board (framegrabber)']","[28, 'LAE/Stock']","[36, '64400259']",Hamamatsu,DET-1-01-220CONFG,CAMRA-3114-00,Hamamatsu,1.0,1.0,"[1, 'Units']",0.0,0.0,1160.0
2,59,"[69, '[DET-1-01-220FGCBL] Camera Link Cable (to framegrabber)']","[28, 'LAE/Stock']",False,Hamamatsu,DET-1-01-220FGCBL,CAMRA-4224-000,Hamamatsu,1.0,1.0,"[1, 'Units']",0.0,0.0,200.0
3,92,"[64, '[TUBE-1-01-AC75801-90CBL] X-ray tube accessories type set 5 MCDH 75']","[8, 'GSAI/Stock']",False,rtw RÖNTGEN-TECHNIK,TUBE-1-01-AC75801-90CBL,MCD_Set5_MCDH_75,RTW,9.0,10.0,"[1, 'Units']",0.0,1.0,7911.2
4,103,"[134, 'WMR Magnetic Non Contact Switch, 10M, 2NC 1NO']","[8, 'GSAI/Stock']",False,False,False,False,False,1.0,1.0,"[1, 'Units']",0.0,0.0,244.38
5,105,"[147, '[PS-1-01-UPS] Uninterruptible power supply - TRIO-UPS-2G/1AC/1AC/230V/750VA']","[8, 'GSAI/Stock']",False,False,PS-1-01-UPS,False,False,2.0,2.0,"[1, 'Units']",0.0,0.0,1259.52
6,110,"[138, '[TDI-XRay-Tube-001_Demo] TDI XRay Tube DEMO']","[8, 'GSAI/Stock']","[46, '2090004']",Hamamatsu,TDI-XRay-Tube-001_Demo,L11754-01-DEMO,Hamamatsu,1.0,1.0,"[1, 'Units']",0.0,0.0,0.0
7,118,"[69, '[DET-1-01-220FGCBL] Camera Link Cable (to framegrabber)']","[8, 'GSAI/Stock']",False,Hamamatsu,DET-1-01-220FGCBL,CAMRA-4224-000,Hamamatsu,7.0,8.0,"[1, 'Units']",0.0,1.0,1600.0
8,124,"[15, '[SFTY-1-02-40] Non Contact Magnetic Interlock']","[28, 'LAE/Stock']",False,EandM,SFTY-1-02-40,138030,IDEM,1.0,1.0,"[1, 'Units']",0.0,0.0,149.32
9,132,"[17, '[SFTY-1-01-60] X-ray Generator Key Switch']","[8, 'GSAI/Stock']",False,EandM,SFTY-1-01-60,3SU1050-4BF01-0AA0,Siemens,1.0,2.0,"[1, 'Units']",0.0,1.0,131.9
10,134,"[19, '[SFTY-1-01-80] Red Stop Button Flush Mount']","[28, 'LAE/Stock']",False,Buckles-Smith Electric,SFTY-1-01-80,800K-30FMR24X01,Allen Bradley,1.0,1.0,"[1, 'Units']",0.0,0.0,134.17000000000002
11,136,"[18, '[SFTY-1-01-70] Green Start Button Flush Mount']","[28, 'LAE/Stock']",False,False,SFTY-1-01-70,False,False,1.0,1.0,"[1, 'Units']",0.0,0.0,69.3
12,138,"[39, 'Air Pressure Sensor']","[28, 'LAE/Stock']",False,False,False,False,False,1.0,1.0,"[1, 'Units']",0.0,0.0,65.0
13,150,"[32, '[TS-1-01-17ACRES] 17"" Touchscreen Monitor AC Power']","[28, 'LAE/Stock']","[59, '20018152']",Hope Industrial,TS-1-01-17ACRES,HIS-ML17-STAH,Hope Industrial,1.0,1.0,"[1, 'Units']",0.0,0.0,814.0
14,175,"[160, 'NTCALUG01A103F']","[8, 'GSAI/Stock']",False,Digikey,False,BC2891-ND,Vishay Beyschlag/Draloric/BC Components,10.0,10.0,"[1, 'Units']",0.0,0.0,23.2
15,205,"[20, '[SFTY-1-04-90] Retro Reflective Photoelectric Sensor']","[8, 'GSAI/Stock']",False,EandM,SFTY-1-04-90,1041436,Sick,2.0,6.0,"[1, 'Units']",0.0,4.0,1152.1200000000001
