,id,x_studio_linked_mrp,x_studio_linked_mrp_priority,x_studio_linked_mrp_machine_name,x_studio_linked_mrp_mo_type,x_studio_linked_mrp_product_version,x_studio_linked_mrp_scheduled_date,x_studio_linked_mrp_customer_commit,x_studio_linked_mrp_product,x_studio_linked_mrp_product_uom,x_studio_linked_mrp_cm_po,x_studio_linked_mrp_base_status,x_studio_linked_mrp_add_on_status,x_studio_linked_mrp_source,x_studio_linked_mrp_state,x_studio_linked_mrp_bom_display_name,reference,product_id,x_studio_vendor_part,name,date,x_studio_manufacturer,should_consume_qty,reserved_availability,quantity_done,product_qty,state
0,407,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[155, '[SFTY-1-02-10] Interlock Safety Switches for curtains']",2TLA050003R0120,New,2021-06-24 00:25:50,ABB,0.0,0.0,2.0,2.0,done
1,408,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[156, '[SFTY-1-02-20] Actuator Keys']",2TLA050040R0204,New,2021-06-24 00:25:50,ABB,0.0,0.0,2.0,2.0,done
2,409,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[14, '[SFTY-1-02-30] Emergency stop button']",CE3T-10R-11,New,2021-06-24 00:25:50,ABB,0.0,0.0,2.0,2.0,done
3,410,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[223, '[SFTY-1-02-31] Emergency Stop Legend Plate']",False,New,2021-06-24 00:25:50,ABB,0.0,0.0,2.0,2.0,done
4,411,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[15, '[SFTY-1-02-40] Non Contact Magnetic Interlock']",138030,New,2021-06-24 00:25:50,IDEM,0.0,0.0,2.0,2.0,done
5,412,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[144, 'Small Contact Magnetic Interlock (front bottom door)']",False,New,2021-06-24 00:25:50,IDEM,0.0,0.0,1.0,1.0,done
6,413,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[16, '[SFTY-1-01-50] Pluto PLC Safety Controller']",False,New,2021-06-24 00:25:50,ABB,0.0,0.0,1.0,1.0,done
7,414,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[17, '[SFTY-1-01-60] X-ray Generator Key Switch']",3SU1050-4BF01-0AA0,New,2021-06-24 00:25:50,Siemens,0.0,0.0,1.0,1.0,done
8,415,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[18, '[SFTY-1-01-70] Green Start Button Flush Mount']",False,New,2021-06-24 00:25:50,IDEC,0.0,0.0,1.0,1.0,done
9,416,"[1, 'WH/MO/00001']",0,Mercury - UNBUILD,Unbuild,Alpha,2021-06-24 00:22:08,False,"[236, '[HRX380.A] HRX380.A']","[1, 'Units']",False,False,False,False,done,False,WH/MO/00001,"[19, '[SFTY-1-01-80] Red Stop Button Flush Mount']",800K-30FMR24X01,New,2021-06-24 00:25:50,Allen Bradley,0.0,0.0,1.0,1.0,done
